"Name","State","Notes","User","Tags","Created","Runtime","Sweep","batch_norm","batch_size","dropout","lr","negative_slope","epoch","train_acc_batch","train_acc_epoch","train_loss_agr_epoch","train_loss_batch","train_loss_con_epoch","train_loss_epoch","train_loss_ext_epoch","train_loss_neu_epoch","train_loss_ope_epoch","trainer/global_step","val_acc_epoch","val_loss_agr_epoch","val_loss_con_epoch","val_loss_epoch","val_loss_ext_epoch","val_loss_neu_epoch","val_loss_ope_epoch"
"dry-sweep-50","finished","-","krl1","","2022-05-30T10:33:08.000Z","191","w6xa3dkg","false","16","0.3","0.001","0","50","0.8999999761581421","0.8312626481056213","0.1367197185754776","0.33356741070747375","0.219016432762146","0.18880516290664673","0.1865692436695099","0.17350062727928162","0.22821977734565735","1249","0.6956093311309814","0.47261977195739746","0.6275103688240051","0.5689491033554077","0.5196937918663025","0.5288994312286377","0.6960223317146301"
"dainty-sweep-49","finished","-","krl1","","2022-05-30T10:31:47.000Z","77","w6xa3dkg","false","2","0.3","0.01","0.1","6","0.5","0.5534511804580688","3.518925905227661","1.2030951976776123","2.0901684761047363","3.1455390453338623","3.2920279502868652","3.2937674522399902","3.532804012298584","1187","0.5425373315811157","66598.5078125","2080.080322265625","48084.05078125","17672.638671875","84995.046875","69073.96875"
"avid-sweep-48","finished","-","krl1","","2022-05-30T10:26:03.000Z","339","w6xa3dkg","false","64","0.3","0.01","0","126","0.684374988079071","0.6612834930419922","0.6295582056045532","0.6230292320251465","0.5878879427909851","0.6357499361038208","0.6498057246208191","0.6540688276290894","0.6574290990829468","881","0.6901217103004456","0.5913287401199341","0.5861275792121887","0.6185635328292847","0.583473801612854","0.6060324907302856","0.7258550524711609"
"logical-sweep-47","finished","-","krl1","","2022-05-30T10:21:56.000Z","242","w6xa3dkg","false","32","0","0.005","0.05","82","0.668749988079071","0.6198263168334961","0.5525449514389038","0.712244987487793","0.7470973134040833","0.6420157551765442","0.677967369556427","0.6322213411331177","0.6002478003501892","1065","0.608433723449707","68.49404907226562","1.733735203742981","14.386795043945312","0.5071147084236145","0.5551036596298218","0.643969714641571"
"breezy-sweep-46","finished","-","krl1","","2022-05-30T10:20:55.000Z","57","w6xa3dkg","false","8","0.4","0.005","0.02","9","0.6000000238418579","0.6145342588424683","0.614213764667511","0.6680172681808472","0.5875626802444458","0.6364918947219849","0.6526732444763184","0.6683246493339539","0.6596851348876953","449","0.6398058533668518","1.0903935432434082","0.8036020398139954","0.9635947346687316","0.7325798869132996","0.717304527759552","1.4740939140319824"
"expert-sweep-45","finished","-","krl1","","2022-05-30T10:15:34.000Z","316","w6xa3dkg","false","64","0.1","0.0001","0.01","107","0.9166666865348816","0.8005664348602295","0.11643609404563904","0.21155796945095065","0.23107555508613584","0.20104509592056272","0.16365204751491547","0.2312704473733902","0.26279139518737793","748","0.6656144857406616","0.28607413172721863","1.016958713531494","0.6156882643699646","0.5641114711761475","0.5122984051704407","0.6989986300468445"
"upbeat-sweep-44","finished","-","krl1","","2022-05-30T10:07:13.000Z","497","w6xa3dkg","false","128","0.2","0.001","0.05","192","0.951562523841858","0.8560947775840759","0.1018899232149124","0.11045581102371216","0.09619835019111632","0.09876960515975952","0.08813174813985825","0.08669894933700562","0.120929017663002","767","0.7139425277709961","0.4084880352020264","0.9753556847572328","0.6423292756080627","0.9607518315315248","0.3619369566440582","0.5051137804985046"
"radiant-sweep-43","finished","-","krl1","","2022-05-30T10:01:00.000Z","371","w6xa3dkg","false","64","0.2","0.001","0.01","135","0.990625023841858","0.8950842022895813","0.02075408212840557","0.027728814631700516","0.05422794073820114","0.052402663975954056","0.054666828364133835","0.08389536291360855","0.04846910014748573","944","0.7340240478515625","0.5981531143188477","0.6674375534057617","0.6161383390426636","0.4680050313472748","0.4516995847225189","0.89539635181427"
"still-sweep-42","finished","-","krl1","","2022-05-30T09:51:13.000Z","583","w6xa3dkg","true","64","0.1","0.0001","0.1","191","1","0.9739462733268738","0.1287352740764618","0.13690486550331116","0.17740465700626373","0.1504925936460495","0.15099012851715088","0.14770114421844482","0.14763173460960388","1336","0.7078361511230469","0.5684237480163574","0.7274469137191772","0.6030116677284241","0.4084442853927612","0.39845243096351624","0.9122907519340516"
"olive-sweep-41","finished","-","krl1","","2022-05-30T09:48:38.000Z","154","w6xa3dkg","false","16","0.1","0.0005","0.1","37","0.9166666865348816","0.801651656627655","0.12112145870923996","0.23681169748306272","0.20682643353939056","0.1722782552242279","0.15950722992420197","0.16175910830497742","0.21217694878578183","924","0.6685542464256287","0.3831016719341278","0.6070435047149658","0.5773763060569763","0.521518886089325","0.4482364654541016","0.9269810318946838"
"genial-sweep-40","finished","-","krl1","","2022-05-30T09:47:35.000Z","57","w6xa3dkg","false","8","0.2","0.005","0.1","9","0.6000000238418579","0.5488215684890747","8749.9150390625","22178.203125","9422.689453125","9450.2314453125","7343.94970703125","9603.6484375","12130.9501953125","449","0.4830096960067749","12604219","4789656.5","12516365","16897782","22277458","6012716.5"
"comic-sweep-39","finished","-","krl1","","2022-05-30T09:45:28.000Z","123","w6xa3dkg","true","8","0.1","0.00001","0.05","19","0.800000011920929","0.8009037971496582","0.4403643012046814","0.44984379410743713","0.5297489762306213","0.4777013957500458","0.4794949889183045","0.4551180899143219","0.4837803840637207","949","0.6558685302734375","0.5960271954536438","0.6588760018348694","0.6435156464576721","0.5992026329040527","0.6819047331809998","0.6815676093101501"
"fast-sweep-38","finished","-","krl1","","2022-05-30T09:36:00.000Z","565","w6xa3dkg","true","64","0.1","0.00001","0.05","186","0.956250011920929","0.8846665620803833","0.3566914498806","0.37855064868927","0.4171880781650543","0.40136873722076416","0.4027029871940613","0.4475102722644806","0.3827510178089142","1301","0.5977880358695984","0.5670840740203857","0.6254482865333557","0.6554570198059082","0.6243807077407837","0.7781779766082764","0.6821941137313843"
"eager-sweep-37","finished","-","krl1","","2022-05-30T09:34:21.000Z","94","w6xa3dkg","true","16","0.3","0.00005","0.02","20","0.8833333253860474","0.7340909242630005","0.45701655745506287","0.47742506861686707","0.505253255367279","0.4884035885334015","0.5478475093841553","0.43458884954452515","0.4973115921020508","499","0.6313596367835999","0.6511616110801697","0.569273829460144","0.6659194231033325","0.6879215240478516","0.6108039021492004","0.8104360699653625"
"glad-sweep-36","finished","-","krl1","","2022-05-30T09:31:51.000Z","146","w6xa3dkg","true","4","0","0.01","0","20","0.6000000238418579","0.6999495029449463","0.4172351360321045","0.6443355679512024","0.557580828666687","0.5023932456970215","0.4682895243167877","0.4288251399993897","0.6400355100631714","1979","0.6927927732467651","0.4872404336929322","0.5972580909729004","0.5596197247505188","0.4234701991081238","0.5846247673034668","0.7055051326751709"
"peachy-sweep-35","finished","-","krl1","","2022-05-30T09:29:50.000Z","118","w6xa3dkg","true","2","0.1","0.01","0.02","10","0.8999999761581421","0.6588383913040161","0.6169360280036926","0.4272049069404602","0.5939416885375977","0.633630633354187","0.6511766314506531","0.6498770117759705","0.6562216877937317","1979","0.6792792677879333","0.5484641194343567","0.597737193107605","0.5977522134780884","0.5524380803108215","0.5535123944282532","0.7366092801094055"
"noble-sweep-34","finished","-","krl1","","2022-05-30T09:21:54.000Z","472","w6xa3dkg","false","16","0.3","0.000005","0.05","135","0.7166666388511658","0.6688664555549622","0.4465028643608093","0.5532481074333191","0.5430213809013367","0.5463992357254028","0.5355587005615234","0.5603201985359192","0.6465926766395569","3374","0.6603147983551025","0.6245377659797668","0.7170512676239014","0.6646984815597534","0.6353141069412231","0.6484198570251465","0.6981697082519531"
"stellar-sweep-33","finished","-","krl1","","2022-05-30T09:19:50.000Z","119","w6xa3dkg","false","4","0.1","0.0001","0.02","16","0.8999999761581421","0.7322601079940796","0.2458042949438095","0.32549330592155457","0.4263359606266022","0.35598963499069214","0.34990745782852173","0.2416344583034515","0.5162659287452698","1583","0.6865168809890747","0.441938191652298","0.814992368221283","0.5911316871643066","0.4054921865463257","0.5859673023223877","0.7072685360908508"
"devout-sweep-32","finished","-","krl1","","2022-05-30T09:18:46.000Z","58","w6xa3dkg","false","4","0.2","0.005","0.05","6","0.44999998807907104","0.6172558665275574","0.6228439211845398","0.7763807773590088","0.5923980474472046","0.640942394733429","0.6566250920295715","0.6717602014541626","0.6610843539237976","593","0.6022058725357056","0.8191457390785217","0.5116965174674988","2.462186813354492","3.291067361831665","1.2098488807678225","6.479174613952637"
"wise-sweep-31","finished","-","krl1","","2022-05-30T09:16:46.000Z","116","w6xa3dkg","false","16","0","0.00005","0","30","0.7666666507720947","0.6840067505836487","0.3444385528564453","0.4696730971336365","0.524179995059967","0.4504510164260864","0.4412122964859009","0.3677252233028412","0.5746989250183105","749","0.6955621242523193","0.3303285241127014","1.5245035886764526","0.670117974281311","0.431517094373703","0.38303259015083313","0.6812078952789307"
"stellar-sweep-30","finished","-","krl1","","2022-05-30T09:12:16.000Z","269","w6xa3dkg","false","16","0.4","0.001","0.1","77","0.9333333373069764","0.8578053116798401","0.15525054931640625","0.19914144277572632","0.20044471323490143","0.19776330888271332","0.1961602568626404","0.17365847527980804","0.2633025050163269","1924","0.7454385757446289","0.5332205891609192","0.8153402209281921","0.6164299845695496","0.47672009468078613","0.3092154860496521","0.9476532936096193"
"dry-sweep-29","finished","-","krl1","","2022-05-30T09:10:31.000Z","102","w6xa3dkg","true","4","0.2","0.00001","0.02","12","0.550000011920929","0.566919207572937","0.6735613942146301","0.6375217437744141","0.5763956308364868","0.6472496390342712","0.624243438243866","0.6487321257591248","0.7133158445358276","1187","0.6186566948890686","0.6196815967559814","0.5925512909889221","0.6256594061851501","0.5788211226463318","0.6475671529769897","0.6896755695343018"
"logical-sweep-28","finished","-","krl1","","2022-05-30T09:03:08.000Z","438","w6xa3dkg","false","32","0","0.00001","0.05","144","0.7562500238418579","0.6715593338012695","0.407118946313858","0.5121639370918274","0.5307566523551941","0.5245705842971802","0.5092795491218567","0.5441803932189941","0.6315173506736755","1871","0.6833229064941406","0.33763939142227173","1.0995898246765137","0.6312218308448792","0.4843366742134094","0.5146892070770264","0.7198538184165955"
"fragrant-sweep-27","finished","-","krl1","","2022-05-30T09:00:36.000Z","146","w6xa3dkg","false","4","0.4","0.000005","0.05","20","0.75","0.6570959687232971","0.6226342916488647","0.5874980092048645","0.5940752625465393","0.6381163001060486","0.6531216502189636","0.6682336330413818","0.6525165438652039","1979","0.5006756782531738","0.6748867630958557","0.6778991222381592","0.6892551779747009","0.7069746255874634","0.6939519643783569","0.692563533782959"
"happy-sweep-26","finished","-","krl1","","2022-05-30T08:47:06.000Z","807","w6xa3dkg","false","128","0","0.000005","0","257","0.800000011920929","0.645458459854126","0.5819487571716309","0.5164293050765991","0.5455260276794434","0.6211252808570862","0.6450809240341187","0.6407588720321655","0.6923115849494934","1027","0.6659972071647644","0.5805861353874207","0.594103991985321","0.6146240830421448","0.5767607688903809","0.6106261610984802","0.7110431790351868"
"lunar-sweep-25","finished","-","krl1","","2022-05-30T08:27:24.000Z","1176","w6xa3dkg","false","128","0","0.00001","0.01","497","0.6953125","0.6614058017730713","0.4625919461250305","0.5701672434806824","0.5046542882919312","0.5331697463989258","0.502814769744873","0.5405035614967346","0.6552841663360596","1987","0.6745801568031311","0.42763131856918335","1.0816479921340942","0.6698911786079407","0.5163125991821289","0.5236328840255737","0.8002309799194336"
"pretty-sweep-24","finished","-","krl1","","2022-05-30T08:24:56.000Z","143","w6xa3dkg","false","16","0.2","0.01","0","41","0.5833333134651184","0.6597314476966858","0.6189844608306885","0.6725126504898071","0.5901133418083191","0.6362048387527466","0.6512293219566345","0.6670548319816589","0.6536424160003662","1024","0.687363862991333","0.5882492661476135","0.5780007839202881","0.6184145212173462","0.5899142026901245","0.6178082823753357","0.7181000113487244"
"deep-sweep-23","finished","-","krl1","","2022-05-30T08:22:53.000Z","118","w6xa3dkg","false","16","0.1","0.005","0","28","0.8333333134651184","0.7426947951316833","0.24473382532596588","0.34998729825019836","0.39254289865493774","0.352088063955307","0.33243319392204285","0.30088233947753906","0.4898480474948883","699","0.7004746794700623","0.4290148913860321","0.6355583667755127","0.5281267762184143","0.3796679973602295","0.4889632165431976","0.7074294090270996"
"dazzling-sweep-22","finished","-","krl1","","2022-05-30T08:21:35.000Z","74","w6xa3dkg","false","4","0.1","0.005","0.1","8","0.6000000238418579","0.5647096037864685","0.9530366659164428","1.470738410949707","0.9442380666732788","0.9214127659797668","0.9395925402641296","0.785898745059967","0.9842976331710817","791","0.5177778005599976","70.82681274414062","153.34194946289062","79.6188735961914","85.84037780761719","7.002589702606201","81.08267211914062"
"stellar-sweep-21","finished","-","krl1","","2022-05-30T08:20:08.000Z","81","w6xa3dkg","true","16","0","0.005","0.02","19","0.9333333373069764","0.8307017683982849","0.21417798101902008","0.15493102371692655","0.32804399728775024","0.30437687039375305","0.3871983885765076","0.2534170150756836","0.3390468657016754","474","0.6410138010978699","0.7076151967048645","1.0248357057571411","0.8324592113494873","0.3939755856990814","0.6955448985099792","1.3403240442276"
"generous-sweep-20","finished","-","krl1","","2022-05-30T08:19:16.000Z","49","w6xa3dkg","true","4","0.3","0.005","0","5","0.550000011920929","0.6555555462837219","0.6217328310012817","0.7937710285186768","0.5880237817764282","0.6323239803314209","0.647496223449707","0.6438303589820862","0.6605367660522461","494","0.6184210777282715","0.6199180483818054","0.6081969738006592","0.6800693869590759","0.6653113961219788","0.7154438495635986","0.7914766669273376"
"azure-sweep-19","finished","-","krl1","","2022-05-30T08:17:54.000Z","80","w6xa3dkg","true","16","0","0.005","0.1","19","0.8833333253860474","0.8219563961029053","0.21745777130126953","0.30209267139434814","0.29177841544151306","0.27172088623046875","0.2964441478252411","0.2281128317117691","0.3248111605644226","474","0.65506911277771","1.0534353256225586","1.100101351737976","1.078756332397461","0.5998115539550781","0.8543605208396912","1.7860727310180664"
"happy-sweep-18","finished","-","krl1","","2022-05-30T08:14:02.000Z","227","w6xa3dkg","true","64","0.3","0.0005","0.1","86","0.925000011920929","0.924371600151062","0.12587623298168182","0.18698696792125705","0.1348194181919098","0.15496432781219482","0.20149467885494232","0.11725021153688432","0.19538114964962008","601","0.6365203857421875","0.6605029702186584","1.1139756441116333","1.0163774490356443","0.5133045315742493","1.6880191564559937","1.1060850620269775"
"crimson-sweep-17","finished","-","krl1","","2022-05-30T08:07:30.000Z","388","w6xa3dkg","true","128","0.2","0.0001","0.01","155","0.9166666865348816","0.9121766090393066","0.3280622363090515","0.34155574440956116","0.2699526250362396","0.28694993257522583","0.26866692304611206","0.2789241671562195","0.28914371132850647","619","0.6680943965911865","0.546116054058075","0.6298109889030457","0.6838107705116272","0.5010772943496704","0.7789494395256042","0.9630999565124512"
"chocolate-sweep-16","finished","-","krl1","","2022-05-30T08:06:09.000Z","77","w6xa3dkg","false","2","0.1","0.000005","0.1","6","0.30000001192092896","0.630892276763916","0.6248210072517395","0.8684517741203308","0.5932877659797668","0.6386284828186035","0.6532136797904968","0.6689545512199402","0.6528653502464294","1187","0.658208966255188","0.6314387321472168","0.602623701095581","0.6465587019920349","0.652797281742096","0.6491594910621643","0.6967741847038269"
"peach-sweep-15","finished","-","krl1","","2022-05-30T08:03:35.000Z","149","w6xa3dkg","true","8","0.4","0.00001","0.1","27","0.5","0.5872240662574768","0.6392825841903687","0.7246083617210388","0.6991768479347229","0.6317170262336731","0.6375532150268555","0.543805718421936","0.6387667059898376","1349","0.6546511650085449","0.6045477986335754","0.6126026511192322","0.6254005432128906","0.585362434387207","0.6033852100372314","0.721104621887207"
"cool-sweep-14","finished","-","krl1","","2022-05-30T08:01:31.000Z","121","w6xa3dkg","true","16","0","0.005","0","31","0.8999999761581421","0.8505376577377319","0.1766941100358963","0.30321383476257324","0.21308507025241852","0.21561270952224731","0.2669517695903778","0.17238108813762665","0.24895146489143372","774","0.6924068927764893","0.3876185119152069","1.2503255605697632","0.7460796236991882","0.3970623016357422","0.43784627318382263","1.2575453519821167"
"gentle-sweep-13","finished","-","krl1","","2022-05-30T07:58:47.000Z","159","w6xa3dkg","false","8","0.3","0.0001","0.01","32","1","0.8178030252456665","0.14890943467617035","0.05189621448516846","0.2224203497171402","0.192023903131485","0.19348202645778656","0.16844885051250458","0.22685877978801727","1599","0.7002809047698975","0.46093320846557617","0.6295896172523499","0.55979984998703","0.560063362121582","0.505173921585083","0.6432387232780457"
"lively-sweep-12","finished","-","krl1","","2022-05-30T07:57:35.000Z","68","w6xa3dkg","true","8","0.2","0.0005","0.1","11","0.8500000238418579","0.8117539286613464","0.2871044874191284","0.36892861127853394","0.3674299418926239","0.343264102935791","0.3617419302463531","0.2930883765220642","0.40695565938949585","549","0.6772000193595886","0.4885483682155609","0.7864500880241394","0.6957808136940002","0.6331377625465393","0.6003810167312622","0.9703867435455322"
"stoic-sweep-11","finished","-","krl1","","2022-05-30T07:48:23.000Z","547","w6xa3dkg","false","128","0.1","0.0001","0.05","227","0.9333333373069764","0.8083255290985107","0.17276042699813843","0.1736408174037933","0.16316287219524384","0.17877624928951263","0.1411670297384262","0.14418168365955353","0.27260923385620117","907","0.6600478291511536","0.4176100194454193","1.006075739860535","0.6878784894943237","0.664644718170166","0.600486159324646","0.7505757212638855"
"snowy-sweep-10","finished","-","krl1","","2022-05-30T07:42:27.000Z","353","w6xa3dkg","true","64","0.4","0.005","0.02","140","0.940625011920929","0.9081926345825196","0.09815262258052826","0.15022428333759308","0.16772523522377014","0.13954171538352966","0.17951126396656036","0.0977739244699478","0.15454554557800293","979","0.6809477806091309","0.49014195799827576","0.8425201177597046","0.6709463000297546","0.5056580305099487","0.49220189452171326","1.0242094993591309"
"worthy-sweep-9","finished","-","krl1","","2022-05-30T07:36:16.000Z","369","w6xa3dkg","false","64","0.2","0.00005","0.02","134","0.934374988079071","0.8052238821983337","0.1644866168498993","0.17923860251903534","0.22175666689872744","0.18458740413188937","0.1919420510530472","0.14240168035030365","0.2023500055074692","937","0.6770370602607727","0.42545652389526367","0.7622113823890686","0.5768874883651733","0.5208885073661804","0.4274911284446716","0.7483900189399719"
"rose-sweep-8","finished","-","krl1","","2022-05-30T07:33:53.000Z","142","w6xa3dkg","true","32","0.4","0.0001","0.02","41","0.925000011920929","0.8198447823524475","0.3601950407028198","0.3769891858100891","0.3774312734603882","0.37706518173217773","0.39357540011405945","0.3519144654273987","0.40220972895622253","532","0.677489161491394","0.5824809074401855","0.5526710748672485","0.6270852088928223","0.560816764831543","0.5828139185905457","0.8566433191299438"
"sandy-sweep-7","finished","-","krl1","","2022-05-30T07:32:15.000Z","93","w6xa3dkg","false","4","0.1","0.005","0.01","12","0.550000011920929","0.6356481313705444","0.6205575466156006","0.7052685618400574","0.5908703804016113","0.6384574770927429","0.6524201035499573","0.6698251366615295","0.6586140394210815","1187","0.6682835817337036","0.5909642577171326","0.5968226790428162","0.6183549165725708","0.5985478162765503","0.6003795862197876","0.7050603628158569"
"dainty-sweep-6","finished","-","krl1","","2022-05-30T07:30:22.000Z","109","w6xa3dkg","true","32","0.2","0.01","0","33","0.96875","0.8440465331077576","0.1662529557943344","0.1159355565905571","0.25065040588378906","0.2182380110025406","0.20738065242767337","0.2159499078989029","0.25095614790916443","428","0.6778075098991394","0.9800385236740112","0.7114437818527222","0.755346417427063","0.3477711081504822","0.4442786574363709","1.29319965839386"
"deft-sweep-5","finished","-","krl1","","2022-05-30T07:27:07.000Z","191","w6xa3dkg","false","32","0.2","0.01","0.01","70","0.637499988079071","0.642532467842102","0.5955791473388672","0.6255262494087219","0.5852406620979309","0.6258770823478699","0.6342242360115051","0.6692932844161987","0.6450480818748474","909","0.6316901445388794","26.165298461914062","55.73774337768555","33.03545379638672","13.51611328125","52.77889251708984","16.979225158691406"
"pretty-sweep-4","finished","-","krl1","","2022-05-30T07:21:12.000Z","353","w6xa3dkg","true","64","0","0.0005","0","149","0.993749976158142","0.9787505865097046","0.03319456800818443","0.04009345918893814","0.03326787054538727","0.04323166608810425","0.05362977832555771","0.04033610969781875","0.05573001503944397","1042","0.677545428276062","0.4814851284027099","1.1876201629638672","0.8608177304267883","0.6574792265892029","0.2279626578092575","1.749541401863098"
"sage-sweep-3","finished","-","krl1","","2022-05-30T07:05:35.000Z","935","w6xa3dkg","true","128","0.3","0.00001","0","363","0.885937511920929","0.7996953129768372","0.4138977527618408","0.42771369218826294","0.408326655626297","0.4270764291286469","0.4673748016357422","0.416667103767395","0.4291158318519592","1451","0.6856643557548523","0.5956991314888","0.5925151705741882","0.6090794801712036","0.5585399270057678","0.6076070666313171","0.6910360455513"
"wise-sweep-2","finished","-","krl1","","2022-05-30T07:03:26.000Z","127","w6xa3dkg","false","8","0.1","0.00005","0.01","30","0.699999988079071","0.7276936173439026","0.1749127358198166","0.5588915944099426","0.4339223802089691","0.326356440782547","0.3228684663772583","0.24063915014266968","0.4594396948814392","1499","0.6839820146560669","0.3655862808227539","0.8283146023750305","0.5722116231918335","0.46725282073020935","0.4943171441555023","0.7055875658988953"
"classic-sweep-1","finished","-","krl1","","2022-05-30T07:01:53.000Z","91","w6xa3dkg","true","32","0.2","0.005","0.01","33","0.943750023841858","0.835139274597168","0.17328475415706637","0.17964975535869598","0.2190159112215042","0.22429801523685455","0.2505485713481903","0.2020636349916458","0.2765772342681885","428","0.6483957171440125","0.7672147750854492","1.2042877674102783","1.0150368213653564","1.0658671855926514","0.6825413703918457","1.355272650718689"
